code,canonical_name,source,wiktionary_url,wikidata_id,family_code,family_name,family_parent_code,ancestor_codes,script_codes,short_description,description_source_urls,description_status,description_model,description_updated_at,metadata
gv,Manx,wiktionary,https://en.wiktionary.org/wiki/Category:Manx_language,Q12175,cel-gae,Goidelic,cel-ins,"[""ine-pro"",""cel-pro"",""pgl"",""sga"",""mga""]","[""Latn""]",,[],missing,,,{}
gvl,Gulay,wiktionary,https://en.wiktionary.org/wiki/Category:Gulay_language,Q641737,csu-sar,Sara,csu-bba,"[""ssa-pro"",""csu-pro"",""csu-bba-pro"",""csu-sar-pro""]","[""Latn""]",,[],missing,,,{}
gwc,Kalami,wiktionary,https://en.wiktionary.org/wiki/Category:Kalami_language,Q1675961,inc-koh,Kohistani,inc-dre,"[""ine-pro"",""iir-pro"",""inc-pro"",""inc-ash""]","[""Arab""]",,[],missing,,,{}
gyn,Guyanese Creole English,wiktionary,https://en.wiktionary.org/wiki/Category:Guyanese_Creole_English_language,Q3305477,crp,creole or pidgin,qfa-cnt,"[""ine-pro"",""gem-pro"",""gmw-pro"",""gmw-nsg-pro"",""gmw-afr-pro"",""ang"",""enm"",""en-ear"",""en""]","[""Latn""]",,[],missing,,,{}
ha,Hausa,wiktionary,https://en.wiktionary.org/wiki/Category:Hausa_language,Q56475,cdc-wst,West Chadic,cdc,"[""afa-pro"",""cdc-pro""]","[""Latn"",""Arab""]",,[],missing,,,{}
hac,Gurani,wiktionary,https://en.wiktionary.org/wiki/Category:Gurani_language,Q33733,ira-zgr,Zaza-Gorani,ira-mpr,"[""ine-pro"",""iir-pro"",""ira-pro"",""ira-mpr-pro"",""ira-zgr-pro""]","[""ku-Arab""]",,[],missing,,,{}
hai,Haida,wiktionary,https://en.wiktionary.org/wiki/Category:Haida_language,Q33303,qfa-iso,isolate,qfa-not,[],"[""Latn""]",,[],missing,,,{}
haj,Hajong,wiktionary,https://en.wiktionary.org/wiki/Category:Hajong_language,Q3350576,qfa-mix,mixed,qfa-cnt,"[""sit-pro"",""tbq-pro"",""ine-pro"",""iir-pro"",""inc-pro"",""inc-oas"",""inc-obn""]","[""as-Beng"",""Latn""]",,[],missing,,,{}
hak,Hakka,wiktionary,https://en.wiktionary.org/wiki/Category:Hakka_language,Q33375,zhx,Sinitic,sit-sba,"[""sit-pro"",""och"",""ltc""]","[""Hants"",""Latn""]",,[],missing,,,{}
har,Harari,wiktionary,https://en.wiktionary.org/wiki/Category:Harari_language,Q33626,sem-eth,Ethiopian Semitic,sem-wes,"[""afa-pro"",""sem-pro"",""sem-wes-pro""]","[""Ethi""]",,[],missing,,,{}
haw,Hawaiian,wiktionary,https://en.wiktionary.org/wiki/Category:Hawaiian_language,Q33569,poz-pep,Eastern Polynesian,poz-pnp,"[""map-pro"",""poz-pro"",""poz-pol-pro"",""poz-pnp-pro"",""poz-pep-pro""]","[""Latn""]",,[],missing,,,{}
hbo,Biblical Hebrew,wiktionary,https://en.wiktionary.org/wiki/Category:Terms_derived_from_Biblical_Hebrew_by_language,Q1982248,,,,"[""afa-pro"",""sem-pro"",""sem-wes-pro""]",[],,[],missing,,,{}
hdy,Hadiyya,wiktionary,https://en.wiktionary.org/wiki/Category:Hadiyya_language,Q56613,cus-hec,Highland East Cushitic,cus-eas,"[""afa-pro"",""cus-pro"",""cus-hec-pro""]","[""Latn"",""Ethi""]",,[],missing,,,{}
he,Hebrew,wiktionary,https://en.wiktionary.org/wiki/Category:Hebrew_language,Q9288,sem-can,Canaanite,sem-nwe,"[""afa-pro"",""sem-pro"",""sem-wes-pro"",""hbo"",""he-mis"",""he-med""]","[""Hebr"",""Phnx"",""Brai"",""Samr""]",,[],missing,,,{}
he-med,Medieval Hebrew,wiktionary,https://en.wiktionary.org/wiki/Category:Terms_derived_from_Medieval_Hebrew_by_language,Q2712572,,,,"[""afa-pro"",""sem-pro"",""sem-wes-pro"",""hbo"",""he-mis""]",[],,[],missing,,,{}
he-mis,Mishnaic Hebrew,wiktionary,https://en.wiktionary.org/wiki/Category:Terms_derived_from_Mishnaic_Hebrew_by_language,Q1649362,,,,"[""afa-pro"",""sem-pro"",""sem-wes-pro"",""hbo""]",[],,[],missing,,,{}
